,company_name,phone,email
0,None,866-891-3863,None
1,A 1 Termite & Pest Control Inc,213-388-4506,mikemhnam@aol.com
2,A-1 Fumigation Inc.,562-866-7535,a-1fumigation@verizon.net
3,"Access Exterminator Service, Inc.",714-630-6310,russ@accessext.com
4,Admiral Pest Control Inc,562-925-8308,jeff@admiralpest.com
5,Ag-Fume Service Inc,562-803-0256,agfume@flash.net
6,Algon Exterminating Co,619-561-1991,merry@algonpest.com
7,Assured Audit Pest Prevention,909-767-8940,joe@assuredaudit.com
8,BG Inspections & Pest Control,707-410-7907,beetleman@comcast.net
9,"BPC, Inc",805-650-6828,pat@bpcx.com
10,"Brezden Pest Control, Inc.",805-544-9446,sales@brezdenpest.com
11,"Bugman Termite & PC, The",714-992-1292,brian@thebugman.com
12,C H Boddie Pest Control Inc.,310-839-9270,carlton@boddiepestmanagement.com
13,Cal State Termite & Pest Ctl,559-896-9320,None
14,California Pest Control,209-992-1190,calpestcontrol@gmail.com
15,Cascade Pest Systems,707-446-7760,michael@cascadepestsystems.com
16,Castech Pest Services,559-276-6600,dave@castechpest.com
17,Central Coast Termite,805-489-3070,cctermite@charter.net
18,Chem Free Inc,562-984-2525,chemfreemurphy@aol.com
19,Class Termite & Pest Control,310-328-7781,classtermite@yahoo.com
20,Coast Chem Exterminating,562-981-8433,None
21,Coastal Fumigation Inc.,805-868-9522,irodport@hotmail.com
22,Coastside Termite,650-726-6757,peter@coastsidetermite.com
23,Community Pest Control,626-577-4198,abias@prodigy.net
24,Contra Costa Termite Control,925-680-7665,cctermite@earthlink.net
25,Cost Le$$ Fumigation,408-918-9100,lori@costlessfumigation.com
26,CSI Exterminators,559-294-1779,jslusher@csi-ext.com
27,"D & S Termite, Pest Control  & Fumigations    (AMBD Inc)",619-462-5577,termitegrl@aol.com
28,Dan Eastham Termite Control,559-594-4388,dantermite@gmail.com
29,Die Hard Fumigation,909-620-4555,diehardfume@yahoo.com
30,"Driskell Fumigation, Inc",408-920-6353,e-mail@driskellfumigation.com
31,Ecola Services of Southern California,818-920-7301,info@ecolatermite.com
32,Ed Watson Termite Control,831-392-1422,KrSamb@aol.com
